Date,Close,High,Low,Open,Volume
2024-10-11,54.880001068115234,55.2599983215332,52.619998931884766,52.970001220703125,1151500
2024-10-14,54.5,54.70000076293945,53.79999923706055,54.59000015258789,1246200
2024-10-15,55.380001068115234,56.02000045776367,53.880001068115234,54.540000915527344,796600
2024-10-16,55.279998779296875,56.099998474121094,54.59000015258789,56.099998474121094,807700
2024-10-17,54.529998779296875,55.34000015258789,54.189998626708984,55.290000915527344,931400
2024-10-18,54.970001220703125,55.150001525878906,54.06999969482422,54.45000076293945,1416400
2024-10-21,53.810001373291016,54.849998474121094,53.150001525878906,54.5,946700
2024-10-22,54.939998626708984,55.13999938964844,53.5,53.75,704100
2024-10-23,53.040000915527344,54.95000076293945,53.0099983215332,54.650001525878906,1017400
2024-10-24,52.400001525878906,53.81999969482422,52.060001373291016,53.04999923706055,956600
2024-10-25,51.31999969482422,53.310001373291016,51.2400016784668,52.560001373291016,846300
2024-10-28,52.2599983215332,53.31999969482422,52.040000915527344,52.25,761000
2024-10-29,51.5099983215332,52.2400016784668,51.189998626708984,51.91999816894531,617600
2024-10-30,51.310001373291016,52.06999969482422,50.93000030517578,50.93000030517578,570400
2024-10-31,51.0,51.470001220703125,50.529998779296875,51.040000915527344,989400
2024-11-01,51.81999969482422,52.369998931884766,51.02000045776367,51.61000061035156,881800
2024-11-04,51.47999954223633,52.099998474121094,50.970001220703125,51.349998474121094,718700
2024-11-05,52.52000045776367,53.0,50.880001068115234,51.310001373291016,1142900
2024-11-06,55.5,55.689998626708984,53.189998626708984,53.9900016784668,2316100
2024-11-07,55.84000015258789,57.47999954223633,54.630001068115234,54.9900016784668,2047100
2024-11-08,57.97999954223633,58.7400016784668,56.099998474121094,56.310001373291016,1719800
2024-11-11,58.619998931884766,59.38999938964844,57.79999923706055,59.310001373291016,1936200
2024-11-12,56.189998626708984,58.95000076293945,56.08000183105469,58.33000183105469,1148500
2024-11-13,55.959999084472656,57.75,55.95000076293945,56.790000915527344,883800
2024-11-14,54.70000076293945,56.310001373291016,54.560001373291016,55.7400016784668,1015600
2024-11-15,50.220001220703125,55.13999938964844,49.86000061035156,55.13999938964844,2342400
2024-11-18,51.939998626708984,52.0099983215332,49.63999938964844,50.2400016784668,1288800
2024-11-19,51.09000015258789,51.79999923706055,49.66999816894531,51.65999984741211,1937000
2024-11-20,49.86000061035156,50.95000076293945,49.650001525878906,50.77000045776367,1570800
2024-11-21,47.66999816894531,50.45000076293945,47.560001373291016,50.33000183105469,1822800
2024-11-22,49.099998474121094,49.81999969482422,47.40999984741211,47.66999816894531,1640000
2024-11-25,50.25,51.11000061035156,49.45000076293945,49.52000045776367,1764300
2024-11-26,52.02000045776367,52.7400016784668,49.380001068115234,49.70000076293945,1092100
2024-11-27,52.220001220703125,52.84000015258789,51.65999984741211,52.029998779296875,793600
2024-11-29,51.86000061035156,52.779998779296875,51.779998779296875,52.38999938964844,428400
2024-12-02,50.630001068115234,51.650001525878906,50.279998779296875,50.790000915527344,1604400
2024-12-03,51.5099983215332,51.79999923706055,49.95000076293945,50.52000045776367,1100400
2024-12-04,50.439998626708984,51.529998779296875,50.380001068115234,51.209999084472656,1043300
2024-12-05,50.400001525878906,50.650001525878906,49.72999954223633,49.779998779296875,832500
2024-12-06,50.959999084472656,51.97999954223633,50.150001525878906,50.56999969482422,580800
2024-12-09,50.5,51.709999084472656,50.209999084472656,51.18000030517578,881200
2024-12-10,50.54999923706055,51.2599983215332,50.119998931884766,50.380001068115234,703000
2024-12-11,50.70000076293945,50.900001525878906,49.84000015258789,50.41999816894531,650900
2024-12-12,50.2400016784668,50.68000030517578,49.52000045776367,50.290000915527344,1153400
2024-12-13,48.650001525878906,50.2400016784668,48.13999938964844,50.099998474121094,1432100
2024-12-16,49.02000045776367,49.58000183105469,48.540000915527344,48.61000061035156,758200
2024-12-17,47.779998779296875,49.040000915527344,47.380001068115234,48.5,1372400
2024-12-18,46.36000061035156,49.400001525878906,46.0,48.0,1587100
2024-12-19,46.7400016784668,47.29999923706055,45.65999984741211,46.45000076293945,1377400
2024-12-20,48.869998931884766,50.31999969482422,46.849998474121094,46.849998474121094,3805200
2024-12-23,48.95000076293945,49.9900016784668,47.720001220703125,49.18000030517578,1198300
2024-12-24,48.529998779296875,49.11000061035156,48.0,48.849998474121094,319000
2024-12-26,48.540000915527344,48.95000076293945,47.9900016784668,48.13999938964844,942100
2024-12-27,47.36000061035156,48.849998474121094,47.220001220703125,48.130001068115234,902000
2024-12-30,47.150001525878906,47.790000915527344,46.52000045776367,47.0,1043200
2024-12-31,47.040000915527344,47.779998779296875,46.79999923706055,47.5,797900
2025-01-02,48.93000030517578,49.5,47.7599983215332,48.189998626708984,865700
2025-01-03,49.36000061035156,50.150001525878906,49.040000915527344,49.040000915527344,1007700
2025-01-06,49.189998626708984,49.79999923706055,48.77000045776367,49.20000076293945,761900
2025-01-07,48.5099983215332,49.959999084472656,48.06999969482422,49.31999969482422,1266000
2025-01-08,47.369998931884766,48.4900016784668,47.189998626708984,48.0099983215332,904200
2025-01-10,46.619998931884766,47.099998474121094,45.16999816894531,46.400001525878906,1758100
2025-01-13,46.709999084472656,47.040000915527344,44.4900016784668,46.650001525878906,1288500
2025-01-14,45.22999954223633,47.29999923706055,44.790000915527344,47.0099983215332,1388800
2025-01-15,46.869998931884766,48.45000076293945,45.77000045776367,46.38999938964844,1174300
2025-01-16,46.9900016784668,47.61000061035156,46.4900016784668,46.83000183105469,792100
2025-01-17,45.7400016784668,47.41999816894531,45.5099983215332,47.290000915527344,998300
2025-01-21,45.81999969482422,46.31999969482422,45.2599983215332,45.91999816894531,1255100
2025-01-22,46.81999969482422,47.619998931884766,46.2599983215332,46.52000045776367,1358400
2025-01-23,47.86000061035156,47.900001525878906,44.91999816894531,46.33000183105469,1639200
2025-01-24,50.75,51.15999984741211,47.599998474121094,47.75,2100000
2025-01-27,49.939998626708984,52.79999923706055,49.209999084472656,51.02000045776367,1338500
2025-01-28,48.70000076293945,50.0,48.68000030517578,50.0,862800
2025-01-29,48.650001525878906,49.779998779296875,48.06999969482422,48.61000061035156,766300
2025-01-30,49.970001220703125,50.529998779296875,48.47999954223633,48.93000030517578,1139400
2025-01-31,49.459999084472656,50.4900016784668,48.27000045776367,49.68000030517578,1099100
2025-02-03,48.470001220703125,49.720001220703125,48.150001525878906,48.470001220703125,680400
2025-02-04,49.20000076293945,49.2599983215332,47.709999084472656,48.060001373291016,1319000
2025-02-05,50.40999984741211,51.630001068115234,49.56999969482422,49.81999969482422,897200
2025-02-06,46.16999816894531,50.81999969482422,45.70000076293945,50.38999938964844,3901200
2025-02-07,42.7599983215332,46.22999954223633,42.720001220703125,46.22999954223633,3642900
2025-02-10,42.209999084472656,43.86000061035156,41.709999084472656,42.900001525878906,2616100
2025-02-11,41.560001373291016,43.04999923706055,41.470001220703125,42.04999923706055,1186200
2025-02-12,42.18000030517578,42.33000183105469,40.529998779296875,40.650001525878906,1785900
2025-02-13,41.619998931884766,43.15999984741211,41.58000183105469,43.0,1556600
2025-02-14,46.15999984741211,46.2599983215332,40.77000045776367,41.540000915527344,4821300
2025-02-18,45.38999938964844,48.29999923706055,45.380001068115234,45.599998474121094,1779200
2025-02-19,46.400001525878906,46.7400016784668,45.04999923706055,45.20000076293945,1749400
2025-02-20,51.119998931884766,51.38999938964844,46.0,46.61000061035156,2790800
2025-02-21,50.2599983215332,51.7400016784668,48.880001068115234,51.56999969482422,2169400
2025-02-24,48.13999938964844,50.97999954223633,48.099998474121094,50.27000045776367,1420300
2025-02-25,46.650001525878906,48.66999816894531,46.060001373291016,48.66999816894531,1858900
2025-02-26,46.86000061035156,47.79999923706055,46.16999816894531,47.13999938964844,984400
2025-02-27,47.45000076293945,48.540000915527344,46.90999984741211,47.040000915527344,1201600
2025-02-28,46.0,46.95000076293945,42.869998931884766,44.36000061035156,2017100
2025-03-03,42.88999938964844,46.58000183105469,42.61000061035156,46.0,1864500
2025-03-04,43.689998626708984,44.58000183105469,41.91999816894531,42.5,1787900
2025-03-05,43.880001068115234,44.08000183105469,42.470001220703125,43.529998779296875,1252300
2025-03-06,43.27000045776367,45.0,42.22999954223633,43.27000045776367,1107300
2025-03-07,43.43000030517578,44.18000030517578,42.54999923706055,43.099998474121094,1741500
2025-03-10,43.310001373291016,44.7599983215332,42.869998931884766,43.279998779296875,1674600
2025-03-11,44.400001525878906,44.90999984741211,42.040000915527344,43.459999084472656,1967300
2025-03-12,43.9900016784668,45.06999969482422,43.54999923706055,44.77000045776367,1872700
2025-03-13,44.400001525878906,44.43000030517578,42.540000915527344,43.7400016784668,994600
2025-03-14,44.36000061035156,45.0,43.52000045776367,44.84000015258789,1337100
2025-03-17,44.90999984741211,45.52000045776367,43.779998779296875,44.25,1189100
2025-03-18,43.279998779296875,44.68000030517578,42.86000061035156,44.15999984741211,1339600
2025-03-19,43.45000076293945,43.83000183105469,42.709999084472656,43.0,1156000
2025-03-20,43.099998474121094,44.27000045776367,42.65999984741211,43.0,1055400
2025-03-21,45.43000030517578,47.0,42.70000076293945,42.720001220703125,3725500
2025-03-24,46.56999969482422,48.43000030517578,45.58000183105469,45.58000183105469,2915500
